,luminosity,temperature,mass,gravity,age
75,-4.932910044444444,1304.0,0.06314251741124512,5.587091831080008,8.5
76,-4.893999067226891,1329.0,0.06376240857142856,5.585749517580912,8.5
77,-4.783303699314398,1408.0,0.06438229714285713,5.5786067555753265,8.5
78,-4.6309044921301155,1521.0,0.0650021857142857,5.565242137291573,8.5
79,-4.595305894756839,1529.0,0.06562207428571429,5.543046086752191,8.5
80,-4.486415490250696,1618.0,0.06603533208765076,5.534479978050774,8.5
81,-4.425431128069197,1669.0,0.06624196285714286,5.5294397180022345,8.5
82,-4.2365808713975825,1836.0,0.06686185142857143,5.509955529989002,8.5
83,-4.053776697914356,2012.0,0.06748174,5.489809999163362,8.5
84,-3.846507367655966,2224.0,0.06810162857142857,5.460768174049896,8.5
