,mass,age,temperature,luminosity,radius,gravity,mko_y,mko_j,mko_h,mko_k,mko_lp,mko_mp,w1,w2,w3,w4,irac_ch1,irac_ch2
22,0.059,0.180472177,2527.927218,-3.25831085,0.12266985,5.03179065,11.59260435,10.71168498,10.16797999,9.82126882,9.22656941,9.55561894,9.59872328,9.4334988,9.06949196,9.0122154,9.38878814,9.40251718
23,0.059,0.228546386,2441.69056935,-3.36721614,0.11599628,5.08037812,11.91623051,10.95674233,10.40167698,10.06031132,9.4203509,9.85808139,9.82345171,9.69718204,9.27639899,9.23937263,9.59296413,9.65889337
24,0.059,0.289426612,2338.56230139,-3.48694994,0.11016751,5.12515923,12.29401814,11.23040951,10.65499017,10.32826576,9.62252018,10.18663415,10.05964592,9.97816388,9.48246646,9.46000172,9.80737603,9.93133137
25,0.059,0.366524124,2225.770446,-3.61291701,0.10519574,5.16526995,12.70812964,11.52288809,10.92016383,10.61814017,9.83040186,10.50178733,10.30439917,10.25052806,9.67376348,9.65566094,10.03226648,10.19636153
26,0.059,0.464158883,2115.98160891,-3.73678352,0.10092647,5.20125605,13.11541212,11.81516171,11.18386821,10.91915408,10.04609433,10.77438025,10.57138408,10.49556306,9.84858572,9.82276443,10.27970897,10.43666953
27,0.059,0.587801607,1996.1099557,-3.87046666,0.09723561,5.23361557,13.53785122,12.13019071,11.46989026,11.26261381,10.30411971,11.02575292,10.91657278,10.73411669,10.02303747,9.97610477,10.59819555,10.67315035
28,0.059,0.744380301,1873.35676157,-4.00927683,0.09409156,5.26216495,13.92683259,12.45070287,11.77870339,11.65191059,10.62275065,11.24528929,11.36392787,10.95916428,10.19538907,10.11691559,11.00798169,10.89979618
29,0.059,0.942668455,1752.58866303,-4.14990288,0.09143551,5.28703654,14.23500563,12.75342192,12.11517129,12.09036494,10.99339543,11.43912148,11.88276688,11.17338567,10.36671437,10.25566577,11.48544986,11.11982483
30,0.059,1.19377664,1639.31524827,-4.28800195,0.08914292,5.30909255,14.48482455,13.03648147,12.47598706,12.56044258,11.38238031,11.61091971,12.39825819,11.37814028,10.532221,10.39207615,11.97333632,11.33386901
31,0.059,1.51177507,1531.9447724,-4.42526869,0.0871585,5.32864705,14.68413301,13.28420681,12.87962709,13.03054577,11.7660884,11.74871253,12.86097074,11.56430683,10.69661034,10.53870661,12.43326936,11.53131422
