,wave,flux,noise
79,1.50755,0.45011907840599097,0.037256857172059545
80,1.5122,0.39516895830010557,0.034474620415824955
81,1.51685,0.3836410589512915,0.03443022493910647
82,1.5215,0.42377932285353015,0.03480673897398954
83,1.52615,0.41898836460697614,0.034603947937768505
84,1.5308,0.4225787844113397,0.034316837953888804
85,1.53545,0.4173730404159354,0.03422494544805719
86,1.5401,0.40634586134784684,0.03461433453183425
87,1.54475,0.448845205777045,0.03603938966347884
88,1.5494,0.3914973736465458,0.03429765160651737
89,1.55405,0.37590810251581624,0.034270891700973
90,1.5587,0.42584454590085563,0.034549634706299744
91,1.56335,0.45073415198582784,0.03451003581642411
92,1.568,0.45386960871194393,0.0345134619498833
93,1.57265,0.4693932214571263,0.034536939980219394
94,1.5773,0.47832051553813487,0.03444364095644138
95,1.58195,0.39228584329978367,0.035280987973866196
96,1.5866,0.4797256407793182,0.03548684449791912
97,1.59125,0.4793424657278929,0.04273362166797359
98,1.5959,0.4594528654421023,0.03430872342727495
99,1.60055,0.47575872013970155,0.034538995660294905
100,1.6052,0.41422998384058024,0.03425859368508266
101,1.60985,0.40603685559419167,0.03556344562915395
102,1.6145,0.325100715628974,0.04679124562053048
103,1.61915,0.4395427635704022,0.034763497563278345
104,1.6238,0.48333311122371303,0.035305006972643216
105,1.62845,0.45807779347184124,0.03523547449570313
106,1.6331,0.44911278018236006,0.03543657049747592
107,1.63775,0.4148592349229618,0.035492975473582926
108,1.6424,0.427518408470818,0.03580277006741871
109,1.64705,0.4498067482065176,0.03604544851001719
110,1.6517,0.4678538242099913,0.036979520684679204
111,1.65635,0.4689468820938409,0.03796877164031546
112,1.661,0.5610415942252822,0.040753316528564655
113,1.66565,0.5020185336372107,0.044470130363339466
114,1.6703,0.4379644396531102,0.0498621431368421
115,1.67495,0.4840549544824754,0.05918699647586182
116,1.6796,0.5369075711607451,0.07342023680219815
117,1.68425,0.42168850615648995,0.09181208185673052
118,1.6889,0.5716882354558821,0.11811288551757101
119,1.69355,0.9444118847962092,0.1504310614696222
